Z,sym,n,Z_eff,IE_drlt,IE_obs,err_pct
1,H,1,1.0000,13.6060,13.5980,0.06
2,He,1,1.4514,25.8728,24.5870,5.23
3,Li,2,1.2500,5.3148,5.3920,-1.43
4,Be,2,1.9757,11.9857,9.3230,28.56
5,B,2,1.5000,7.6534,8.2980,-7.77
6,C,2,2.2257,16.8499,11.2600,49.64
7,N,2,2.9514,29.6290,14.5340,103.86
8,O,2,3.6770,45.9906,13.6180,237.72
9,F,2,4.4027,65.9348,17.4230,278.44
10,Ne,2,5.1284,89.4616,21.5650,314.85
11,Na,3,2.2500,7.6534,5.1390,48.93
12,Mg,3,3.0671,12.8383,7.6460,67.91
13,Al,3,2.5000,9.4486,5.9860,57.85
14,Si,3,3.3171,16.6345,8.1520,104.05
15,P,3,4.1342,25.8393,10.4870,146.39
16,S,3,4.9514,37.0628,10.3600,257.75
17,Cl,3,5.7685,50.3051,12.9680,287.92
18,Ar,3,6.5856,65.5662,15.7600,316.03
19,K,4,3.2500,8.9821,4.3410,106.91
20,Ca,4,4.1128,12.9853,6.1130,112.42
21,Sc,3,3.5000,18.5193,6.5620,182.22
22,Ti,3,4.3171,28.1758,6.8280,312.65
23,V,3,5.1342,39.8512,6.7460,490.74
24,Cr,3,5.9514,53.5453,6.7670,691.27
25,Mn,3,6.7685,69.2582,7.4340,831.64
26,Fe,3,7.5856,86.9899,7.9020,1000.86
27,Co,3,8.4027,106.7404,7.8810,1254.40
28,Ni,3,9.2199,128.5097,7.6400,1582.06
29,Cu,3,10.0370,152.2978,7.7260,1871.24
30,Zn,3,10.8541,178.1047,9.3940,1795.94
31,Ga,4,4.7500,19.1866,5.9990,219.83
32,Ge,4,5.6128,26.7902,7.9000,239.12
33,As,4,6.4757,35.6600,9.7890,264.29
34,Se,4,7.3385,45.7960,9.7520,369.61
35,Br,4,8.2014,57.1983,11.8140,384.16
36,Kr,4,9.0642,69.8667,14.0000,399.05
