EXP_043b: Simplex Anatomy — All Elements Z=1 to 118
======================================================================

   Z  Simp  Hing    ⟨SST⟩    ⟨STT⟩  STT_min  STT_max    ⟨TT⟩       Σdet
──────────────────────────────────────────────────────────────────────
   1     1    10   0.9983   0.0982   0.0982   0.0982  0.9496       7.28
   2     2    19   0.9983   0.7298   0.7298   0.7298  0.6305      17.36
   3     3    28   0.9983   0.5978   0.0141   0.8897  0.6616      24.35
   4     4    37   0.9983   0.5384   0.2147   0.8620  0.6745      31.42
   5     5    46   0.9983   0.5097   0.0052   0.7953  0.6847      38.60
   6     6    55   0.9983   0.4942   0.0979   0.7260  0.6818      45.83
   7     7    64   0.9983   0.4850   0.0027   0.7691  0.6879      53.11
   8     8    73   0.9983   0.4792   0.0555   0.8305  0.6925      60.42
   9     9    82   0.9983   0.4753   0.0016   0.8601  0.6920      67.74
  10    10    91   0.9983   0.4726   0.0357   0.8696  0.6927      75.08
  11    11   100   0.9983   0.4706   0.0011   0.8663  0.6952      82.42
  12    12   109   0.9983   0.4692   0.0248   0.8552  0.6972      89.77
  13    13   118   0.9983   0.4681   0.0008   0.8392  0.6981      97.13
  14    14   127   0.9983   0.4672   0.0183   0.8424  0.6982     104.48
  15    15   136   0.9983   0.4666   0.0006   0.8576  0.6978     111.85
  16    16   145   0.9983   0.4660   0.0140   0.8656  0.6987     119.21
  17    17   154   0.9983   0.4656   0.0005   0.8681  0.6997     126.58
  18    18   163   0.9983   0.4653   0.0111   0.8665  0.7005     133.94
  19    19   172   0.9983   0.4650   0.0004   0.8617  0.7010     141.31
  20    20   181   0.9983   0.4647   0.0090   0.8545  0.7014     148.68
  21    21   190   0.9983   0.4645   0.0003   0.8570  0.7017     156.05
  22    22   199   0.9983   0.4643   0.0074   0.8634  0.7019     163.43
  23    23   208   0.9983   0.4642   0.0002   0.8668  0.7020     170.80
  24    24   217   0.9983   0.4640   0.0062   0.8677  0.7019     178.17
  25    25   226   0.9983   0.4639   0.0002   0.8666  0.7021     185.55
  26    26   235   0.9983   0.4638   0.0053   0.8637  0.7026     192.92
  27    27   244   0.9983   0.4638   0.0002   0.8596  0.7030     200.29
  28    28   253   0.9983   0.4637   0.0046   0.8620  0.7032     207.67
  29    29   262   0.9983   0.4636   0.0002   0.8654  0.7034     215.04
  30    30   271   0.9983   0.4635   0.0040   0.8671  0.7035     222.42
  31    31   280   0.9983   0.4635   0.0001   0.8675  0.7036     229.80
  32    32   289   0.9983   0.4634   0.0035   0.8666  0.7038     237.17
  33    33   298   0.9983   0.4634   0.0001   0.8647  0.7039     244.55
  34    34   307   0.9983   0.4634   0.0031   0.8619  0.7041     251.92
  35    35   316   0.9983   0.4633   0.0001   0.8642  0.7042     259.30
  36    36   325   0.9983   0.4633   0.0028   0.8663  0.7043     266.68
  37    37   334   0.9983   0.4633   0.0001   0.8673  0.7044     274.05
  38    38   343   0.9983   0.4632   0.0025   0.8674  0.7044     281.43
  39    39   352   0.9983   0.4632   0.0001   0.8667  0.7044     288.81
  40    40   361   0.9983   0.4632   0.0022   0.8653  0.7044     296.18
  41    41   370   0.9983   0.4632   0.0001   0.8633  0.7046     303.56
