EXP_043i: Full Periodic Table IE — Analytical DRLT + Slater
============================================================

Layer 1: IE = 30.9/(n+l)² — ordering only
  Mean |error|: 83.2%, within 30%: 2/86

Layer 2: IE = Z_eff(Slater)²/n² × 13.6
  Mean |error|: 758.3%, within 30%: 8/86

Layer 3: IE = Z_eff(DRLT σ)²/n² × 13.6
  Mean |error|: 654.1%, within 30%: 8/86

  Z Sym   L2 IE   L3 IE    NIST   err2%   err3%
─────────────────────────────────────────────
  1   H   13.60   13.60  13.598   +0.0%   +0.0%
  2  He   37.02   37.02  24.587  +50.6%  +50.6%
  3  Li    5.75    5.75   5.392   +6.5%   +6.5%
  4  Be   12.93   12.93   9.323  +38.7%  +38.7%
  5   B   22.98    5.75   8.298 +176.9%  -30.8%
  6   C   35.91   12.93  11.260 +218.9%  +14.8%
  7   N   51.71   22.98  14.534 +255.8%  +58.1%
  8   O   70.38   35.91  13.618 +416.8% +163.7%
  9   F   91.92   51.71  17.423 +427.6% +196.8%
 10  Ne  116.34   70.38  21.565 +439.5% +226.4%
 11  Na    7.31   40.85   5.139  +42.3% +695.0%
 12  Mg   12.27   51.71   7.646  +60.5% +576.3%
 13  Al   18.51    7.31   5.986 +209.2%  +22.2%
 14  Si   26.02   12.27   8.152 +219.2%  +50.5%
 15   P   34.81   18.51  10.487 +231.9%  +76.5%
 16   S   44.88   26.02  10.360 +333.2% +151.2%
 17  Cl   56.22   34.81  12.968 +333.5% +168.4%
 18  Ar   68.84   44.88  15.760 +336.8% +184.8%
 19   K    4.11   31.62   4.341   -5.2% +628.5%
 20  Ca    6.90   38.72   6.113  +12.9% +533.4%
 21  Sc   13.60    7.31   6.561 +107.3%  +11.5%
 22  Ti   20.13   12.27   6.828 +194.8%  +79.7%
 23   V   27.94   18.51   6.746 +314.1% +174.4%
 24  Cr   37.02   26.02   6.767 +447.1% +284.5%
 25  Mn   47.38   34.81   7.434 +537.4% +368.3%
 26  Fe   59.02   44.88   7.902 +646.9% +467.9%
 27  Co   71.93   56.22   7.881 +812.7% +613.4%
 28  Ni   86.12   68.84   7.640 +1027.3% +801.0%
 29  Cu  101.59   82.74   7.726 +1214.9% +970.9%
 30  Zn  118.34   97.91   9.394 +1159.7% +942.3%
 31  Ga   21.25   64.33   5.999 +254.2% +972.3%
 32  Ge   27.13   74.30   7.899 +243.5% +840.6%
 33  As   33.73   84.99   9.789 +244.6% +768.2%
 34  Se   41.05   96.39   9.752 +321.0% +888.5%
 35  Br   49.09  108.52  11.814 +315.5% +818.6%
 36  Kr   57.84  121.36  14.000 +313.2% +766.9%
 37  Rb    2.63   86.35   4.177  -37.0% +1967.3%
 38  Sr    4.42   95.49   5.695  -22.4% +1576.8%
 39   Y    7.65    4.11   6.217  +23.0%  -33.8%
 40  Zr   11.32    6.90   6.634  +70.7%   +4.1%
 41  Nb   15.71   10.41   6.759 +132.5%  +54.0%
 42  Mo   20.82   14.64   7.092 +193.6% +106.4%
 43  Tc   26.65   19.58   7.119 +274.4% +175.1%
 44  Ru   33.20   25.24   7.361 +351.0% +242.9%
 45  Rh   40.46   31.62   7.459 +442.5% +324.0%
 46  Pd   48.44   38.72   8.337 +481.1% +364.5%
